franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Flynn,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17177&figure=flynn,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/Flynn1.jpg,
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Light Cycle (Red),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17181&figure=lightcyclered,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/LightCycleRed1.jpg,https://www.figurerealm.com/galleries/tron/LightCycleRed-Front.jpg
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Light Cycle (Yellow),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17182&figure=lightcycleyellow,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/LightCycleYellow1.jpg,
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Sark,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17178&figure=sark,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/Sark1.jpg,https://www.figurerealm.com/galleries/tron/Sark-Front.jpg
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Tron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17179&figure=tron,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/Tron1.jpg,https://www.figurerealm.com/galleries/tron/Tron-Front.jpg
Tron,Tron,Tomy Tron,Tomy,1981,Basic Series,Warrior,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=17180&figure=warrior,Figure Realm checklist import from series id 5767.,https://www.figurerealm.com/galleries/tron/Warrior1.jpg,
Tron,Tron,Diamond Select Toys Tron,Diamond Select Toys,2021,Basic Series,Electronic Arcade Style Box Set,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=87555&figure=electronicarcadestyleboxset,Figure Realm checklist import from series id 5768.,https://www.figurerealm.com/galleries/trondiamondselect/ElectronicArcadeBoxSet-Front.jpg,https://www.figurerealm.com/galleries/trondiamondselect/ElectronicArcadeBoxSet-Front.jpg
Tron,Tron,Diamond Select Toys Tron,Diamond Select Toys,2022,Basic Series,Flynn,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96742&figure=flynn,Figure Realm checklist import from series id 5768.,https://www.figurerealm.com/galleries/trondiamondselect/Flynn-1.jpg,
Tron,Tron,Diamond Select Toys Tron,Diamond Select Toys,2021,Basic Series,Flynn / Tron / Sark,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=98321&figure=flynntronsark,Figure Realm checklist import from series id 5768.,https://www.figurerealm.com/galleries/trondiamondselect/Flynn-Tron-Sark-1.jpg,https://www.figurerealm.com/galleries/trondiamondselect/Flynn-Tron-Sark-Front.jpg
Tron,Tron,Diamond Select Toys Tron,Diamond Select Toys,2020,Basic Series,Infiltrator,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=77131&figure=infiltrator,Figure Realm checklist import from series id 5768.,https://www.figurerealm.com/galleries/trondiamondselect/Infiltrator-1.jpg,https://www.figurerealm.com/galleries/trondiamondselect/Infiltrator-Front.jpg
